[10/15/20 08:43:27] [jarvis]   http get /status?_no_cache=1602747805425
[10/15/20 08:43:28] [jarvis]   http get /status?_no_cache=1602747806560
[10/15/20 08:43:28] [stt]      starting pocketsphinx passively
[10/15/20 08:43:28] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/stt -> 'started'
[10/15/20 08:43:29] [jarvis]   http get /status?_no_cache=1602747807309
[10/15/20 08:43:29] [jarvis]   http get /status?_no_cache=1602747807808
[10/15/20 08:43:30] [jarvis]   http get /status?_no_cache=1602747808219
[10/15/20 08:43:30] [hotword]  voice_activity_end
[10/15/20 08:43:30] [hotword]  voice_activity_start
[10/15/20 08:43:30] [jarvis]   http get /status?_no_cache=1602747809026
[10/15/20 08:43:31] [jarvis]   http get /status?_no_cache=1602747809463
[10/15/20 08:43:32] [jarvis]   http get /status?_no_cache=1602747810337
[10/15/20 08:43:32] [hotword]  voice_activity_end
[10/15/20 08:43:32] [jarvis]   http get /status?_no_cache=1602747810765
[10/15/20 08:43:32] [hotword]  voice_activity_start
[10/15/20 08:43:32] [jarvis]   http get /status?_no_cache=1602747811081
[10/15/20 08:43:33] [jarvis]   http get /status?_no_cache=1602747811439
[10/15/20 08:43:33] [jarvis]   http get /status?_no_cache=1602747811798
[10/15/20 08:43:33] [hotword]  voice_activity_end
[10/15/20 08:43:33] [jarvis]   http get /status?_no_cache=1602747812070
[10/15/20 08:43:34] [jarvis]   http get /status?_no_cache=1602747812364
[10/15/20 08:43:34] [jarvis]   http get /status?_no_cache=1602747812554
[10/15/20 08:43:34] [jarvis]   http get /status?_no_cache=1602747812863
[10/15/20 08:43:34] [jarvis]   http get /status?_no_cache=1602747813056
[10/15/20 08:43:34] [hotword]  voice_activity_start
[10/15/20 08:43:35] [jarvis]   http get /status?_no_cache=1602747813343
[10/15/20 08:43:35] [jarvis]   http get /status?_no_cache=1602747813703
[10/15/20 08:43:35] [jarvis]   http get /status?_no_cache=1602747813910
[10/15/20 08:43:35] [jarvis]   http get /status?_no_cache=1602747814085
[10/15/20 08:43:36] [hotword]  voice_activity_end
[10/15/20 08:43:36] [jarvis]   http get /status?_no_cache=1602747814266
[10/15/20 08:43:36] [hotword]  voice_activity_start
[10/15/20 08:43:36] [jarvis]   http get /status?_no_cache=1602747814459
[10/15/20 08:43:37] [hotword]  voice_activity_end
[10/15/20 08:43:38] [jarvis]   http get /stop-all?_no_cache=1602747816315
[10/15/20 08:43:38] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:43:38] [jarvis]   http get /status?_no_cache=1602747816463
[10/15/20 08:43:38] [hotword]  voice_activity_start
[10/15/20 08:43:39] [jarvis]   http get /status?_no_cache=1602747817606
[10/15/20 08:43:41] [jarvis]   http get /status?_no_cache=1602747819473
[10/15/20 08:43:41] [hotword]  voice_activity_end
[10/15/20 08:43:41] [hotword]  voice_activity_start
[10/15/20 08:43:42] [hotword]  voice_activity_end
[10/15/20 08:43:42] [hotword]  voice_activity_start
[10/15/20 08:43:43] [jarvis]   http get /status?_no_cache=1602747821478
[10/15/20 08:43:43] [hotword]  voice_activity_end
